# format org.openvanilla.mcbopomofo.sorted
〈-_punctuation_<-〉-_punctuation_> -4
〈-_punctuation_ETen26_<-〉-_punctuation_ETen26_> -4
〈-_punctuation_ETen_<-〉-_punctuation_ETen_> -4
〈-_punctuation_HanyuPinyin_<-〉-_punctuation_HanyuPinyin_> -4
〈-_punctuation_Hsu_<-〉-_punctuation_Hsu_> -4
〈-_punctuation_Standard_<-〉-_punctuation_Standard_> -4
〈-_punctuation_list-〉-_punctuation_list -4
〈-_punctuation_list-〉-_punctuation_list -4
〈-_punctuation_list_<-〉-_punctuation_list_> -4
〈-_punctuation_list_{-〉-_punctuation_list_} -4
〈-_punctuation_{-〉-_punctuation_} -4
《-_punctuation_<-》-_punctuation_> -4
《-_punctuation_ETen26_<-》-_punctuation_ETen26_> -4
《-_punctuation_ETen_<-》-_punctuation_ETen_> -4
《-_punctuation_Hsu_<-》-_punctuation_Hsu_> -4
《-_punctuation_Standard_<-》-_punctuation_Standard_> -4
《-_punctuation_list-》-_punctuation_list -4
《-_punctuation_list-》-_punctuation_list -4
《-_punctuation_list_<-》-_punctuation_list_> -4
《-_punctuation_list_{-》-_punctuation_list_} -4
《-_punctuation_{-》-_punctuation_} -4
「-_punctuation_[-」-_punctuation_] -4
「-_punctuation_list-」-_punctuation_list -4
「-_punctuation_list_[-」-_punctuation_list_] -4
『-_punctuation_list-』-_punctuation_list -4
『-_punctuation_list_{-』-_punctuation_list_} -4
『-_punctuation_{-』-_punctuation_} -4
【-_punctuation_list-】-_punctuation_list -4
【-_punctuation_list_{-】-_punctuation_list_} -4
【-_punctuation_{-】-_punctuation_} -4
〔-_punctuation_list-〕-_punctuation_list -4
〔-_punctuation_list_{-〕-_punctuation_list_} -4
〔-_punctuation_{-〕-_punctuation_} -4
〖-_punctuation_list-〗-_punctuation_list -4
〖-_punctuation_list_{-〗-_punctuation_list_} -4
〖-_punctuation_{-〗-_punctuation_} -4
一-ㄧ-一-ㄧ -4.2895
一-ㄧ-下-ㄒㄧㄚˋ -3.5272
一-ㄧ-下-ㄒㄧㄚˋ-子-ㄗ˙ -4.2703
一-ㄧ-九-ㄐㄧㄡˇ-九-ㄐㄧㄡˇ -3.7816
一-ㄧ-九-ㄐㄧㄡˇ-九-ㄐㄧㄡˇ-一-ㄧ -4.3220
一-ㄧ-九-ㄐㄧㄡˇ-九-ㄐㄧㄡˇ-三-ㄙㄢ -4.3356
一-ㄧ-九-ㄐㄧㄡˇ-九-ㄐㄧㄡˇ-二-ㄦˋ -4.2557
